epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,1071.29,2.47254,2.29852,0.00116,0.87395,0.84638,0.8582,0.44591,2.37336,2.11545,0.00179,0.00103987,0.00103987,0.00103987
78,1085.05,2.53468,2.30211,0.00122,0.86179,0.8605,0.84975,0.44548,2.37737,2.09573,0.0018,0.00103162,0.00103162,0.00103162
79,1097.8,2.48971,2.35196,0.00119,0.85259,0.87719,0.84649,0.44414,2.3878,2.14138,0.00181,0.00102337,0.00102337,0.00102337
80,1109.89,2.5262,2.28952,0.00119,0.87178,0.8098,0.83458,0.44139,2.40655,2.16701,0.00184,0.00101512,0.00101512,0.00101512
81,1122.19,2.51504,2.35078,0.0012,0.88222,0.81753,0.84708,0.43791,2.41902,2.183,0.00185,0.00100687,0.00100687,0.00100687
82,1134.32,2.5075,2.28405,0.00121,0.86661,0.83367,0.86928,0.46118,2.39481,2.05965,0.00183,0.000998616,0.000998616,0.000998616
83,1146.08,2.4686,2.23874,0.00119,0.87212,0.84609,0.87841,0.44932,2.38003,2.17298,0.0018,0.000990365,0.000990365,0.000990365
84,1158.1,2.44293,2.28988,0.00117,0.86458,0.82231,0.85801,0.44886,2.42249,2.13984,0.00186,0.000982113,0.000982113,0.000982113
85,1170.26,2.48263,2.25574,0.00117,0.86603,0.83088,0.86059,0.44712,2.37997,2.0552,0.00182,0.000973861,0.000973861,0.000973861
86,1182.36,2.51057,2.29606,0.00115,0.87406,0.80902,0.85007,0.44959,2.40018,2.04787,0.00182,0.00096561,0.00096561,0.00096561
87,1194.29,2.51775,2.24836,0.00118,0.88732,0.84832,0.85947,0.44959,2.38432,2.06756,0.00181,0.000957358,0.000957358,0.000957358
88,1206.3,2.49908,2.27318,0.00116,0.86019,0.86864,0.85819,0.44922,2.38899,2.09775,0.00181,0.000949106,0.000949106,0.000949106
89,1218.49,2.44958,2.25544,0.00116,0.89191,0.85231,0.87211,0.4535,2.37665,2.0661,0.0018,0.000940855,0.000940855,0.000940855
90,1230.28,2.45492,2.25823,0.00115,0.85524,0.83976,0.86053,0.4548,2.36298,2.06622,0.0018,0.000932603,0.000932603,0.000932603
91,1242.28,2.47494,2.26668,0.00117,0.86137,0.85881,0.87529,0.45739,2.38645,2.17487,0.00181,0.000924352,0.000924352,0.000924352
